"","County","Freq","Expected","Residual","Component"
"1625","1625",3,6.3797,-3.3797,-1.7905
"2058","2058",0,1.7863,-1.7863,-1.7863
"2521","2521",0,1.7722,-1.7722,-1.7722
"3048","3048",0,1.7684,-1.7684,-1.7684
"2289","2289",1,3.4633,-2.4633,-1.752
"522","522",8,12.717,-4.717,-1.7497
"381","381",0,1.7454,-1.7454,-1.7454
"1349","1349",0,1.7414,-1.7414,-1.7414
"2262","2262",0,1.7326,-1.7326,-1.7326
"232","232",15,21.0203,-6.0203,-1.7243
"2897","2897",0,1.7237,-1.7237,-1.7237
"2225","2225",3,6.2812,-3.2812,-1.7141
"2217","2217",23,30.1895,-7.1895,-1.7121
"2956","2956",11,16.2632,-5.2632,-1.7033
"2265","2265",0,1.6973,-1.6973,-1.6973
"2171","2171",0,1.6822,-1.6822,-1.6822
"2123","2123",0,1.6545,-1.6545,-1.6545
"2271","2271",1,3.3559,-2.3559,-1.6539
"2919","2919",0,1.6461,-1.6461,-1.6461
"1616","1616",1,3.3459,-2.3459,-1.6448
"591","591",0,1.6397,-1.6397,-1.6397
"811","811",1,3.3282,-2.3282,-1.6287
"2350","2350",0,1.6283,-1.6283,-1.6283
"528","528",0,1.6123,-1.6123,-1.6123
"2093","2093",1,3.3004,-2.3004,-1.6034
"842","842",3,6.1164,-3.1164,-1.5878
"3088","3088",1,3.2783,-2.2783,-1.5833
"2221","2221",6,9.9711,-3.9711,-1.5815
"2963","2963",1,3.274,-2.274,-1.5794
"998","998",5,8.707,-3.707,-1.5783
"1150","1150",3,6.1023,-3.1023,-1.5772
"1366","1366",0,1.5756,-1.5756,-1.5756
"70","70",3,6.0772,-3.0772,-1.5581
"2036","2036",1,3.2467,-2.2467,-1.5547
"2675","2675",0,1.5527,-1.5527,-1.5527
"1892","1892",0,1.548,-1.548,-1.548
"2892","2892",2,4.6858,-2.6858,-1.5394
"626","626",4,7.3601,-3.3601,-1.534
"2185","2185",3,6.0451,-3.0451,-1.5339
"1018","1018",0,1.5326,-1.5326,-1.5326
"2605","2605",0,1.5269,-1.5269,-1.5269
"994","994",1,3.21,-2.21,-1.5216
"2644","2644",0,1.5119,-1.5119,-1.5119
"125","125",0,1.5056,-1.5056,-1.5056
"1702","1702",2,4.6276,-2.6276,-1.492
"2243","2243",2,4.6277,-2.6277,-1.492
"1321","1321",0,1.4886,-1.4886,-1.4886
"760","760",0,1.4846,-1.4846,-1.4846
"1758","1758",10,14.6641,-4.6641,-1.4835
"2061","2061",5,8.5617,-3.5617,-1.4816
"979","979",0,1.4788,-1.4788,-1.4788
"2966","2966",1,3.1591,-2.1591,-1.4756
"633","633",0,1.4711,-1.4711,-1.4711
"2159","2159",0,1.4687,-1.4687,-1.4687
"647","647",3,5.9516,-2.9516,-1.4638
"414","414",1,3.137,-2.137,-1.4558
"1093","1093",2,4.5808,-2.5808,-1.454
"1350","1350",0,1.4495,-1.4495,-1.4495
"1087","1087",0,1.4377,-1.4377,-1.4377
"2923","2923",0,1.4343,-1.4343,-1.4343
"265","265",1,3.1126,-2.1126,-1.4339
"1340","1340",4,7.2121,-3.2121,-1.4306
"1338","1338",0,1.4298,-1.4298,-1.4298
"3055","3055",2,4.5484,-2.5484,-1.4278
"2249","2249",0,1.4132,-1.4132,-1.4132
"3069","3069",2,4.5256,-2.5256,-1.4094
"2596","2596",0,1.409,-1.409,-1.409
"240","240",0,1.4083,-1.4083,-1.4083
"1248","1248",2,4.5236,-2.5236,-1.4078
"254","254",0,1.407,-1.407,-1.407
"2515","2515",1,3.079,-2.079,-1.4038
"3058","3058",0,1.3883,-1.3883,-1.3883
"2228","2228",1,3.0588,-2.0588,-1.3857
"1307","1307",0,1.3828,-1.3828,-1.3828
"2953","2953",3,5.8397,-2.8397,-1.3809
"2054","2054",0,1.3585,-1.3585,-1.3585
"1274","1274",1,3.0277,-2.0277,-1.358
"1176","1176",3,5.8074,-2.8074,-1.3571
"231","231",1,3.0135,-2.0135,-1.3453
"702","702",1,3.0132,-2.0132,-1.345
"2223","2223",1,3.0097,-2.0097,-1.3419
"1680","1680",6,9.5793,-3.5793,-1.3374
"679","679",0,1.3346,-1.3346,-1.3346
"2064","2064",5,8.3337,-3.3337,-1.3335
"2915","2915",1,2.9991,-1.9991,-1.3326
"648","648",4,7.0522,-3.0522,-1.321
"1259","1259",0,1.32,-1.32,-1.32
"1258","1258",2,4.4061,-2.4061,-1.3139
"1304","1304",7,10.7572,-3.7572,-1.3123
"2109","2109",0,1.3056,-1.3056,-1.3056
"2544","2544",0,1.3009,-1.3009,-1.3009
"350","350",3,5.7174,-2.7174,-1.2915
"778","778",0,1.2838,-1.2838,-1.2838
"934","934",0,1.2796,-1.2796,-1.2796
"972","972",1,2.9337,-1.9337,-1.2745
"1925","1925",1,2.9315,-1.9315,-1.2727
"2396","2396",0,1.2722,-1.2722,-1.2722
"2909","2909",0,1.2692,-1.2692,-1.2692
