"","Var","v.test","Mean.in.category","Overall.mean","p.value"
"1","Hispanic",31.6410472676246,36.3091370558376,7.9402697495183,1.00698056309128e-219
"4","AveFamilySize",24.0217779636541,3.18233502538071,2.92302504816956,1.64694298954038e-127
"6","AgLandAcres",20.5307467725642,292620.601522843,72353.2239884393,1.14403177271283e-93
"10","HusbandWifeFamilyRatio",15.4158714656523,0.333375750318216,0.27910958074637,1.28031987444833e-53
"11","Farming.fishing.and.forestry.occupations",15.161501300632,4.82030456852792,2.11040462427746,6.35987864442174e-52
"68","Median.Earnings.2010",-5.43514340053578,23548.7009340508,25437.6549653301,5.47523809856496e-08
"71","TotalFemale",-5.66705950645443,0.492205163986706,0.500641601947002,1.45268903226046e-08
"80","At.Least.High.School.Diploma",-11.9894032658312,76.792385786802,83.0091040462428,4.03803621716481e-33
