"","ID","Var","v.test","Mean.in.category","Overall.mean","sd.in.category","Overall.sd","p.value","Cluster"
"1",1,"elevation",28.2703651635868,991.271487955941,399.052269403517,569.369454507383,451.280612459098,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000799927045475719,1
"2",2,"Male55to59",27.619672980924,0.0853755389876812,0.0700570116991212,0.0156004918221971,0.0119479687995028,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000645917476505128,1
"3",3,"MaleOver59",25.6045456791248,0.266079893667977,0.203738652650362,0.0510228216302449,0.0524510234403065,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135770103801357,1
"4",4,"Median.Age",23.432391816529,45.2066831683168,39.9027617212588,4.42043856618769,4.87613880937015,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199886481644474,1
"5",5,"Female55to59",22.977199637963,0.0814924328501994,0.0702012689661481,0.0143395440489898,0.0105861297040401,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000788076748664239,1
"6",6,"MarriedHouseholdRatio",21.6157368561301,0.834867920579707,0.762689975473756,0.0441883505180141,0.0719333135747434,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127747159296556,1
"7",7,"TempRange",21.3373710623541,259.97207890198,229.751915749261,32.0725465843327,30.5106522762379,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000510875924812983,1
"8",8,"FemaleOver59",20.823903138929,0.289926944589186,0.239246946846228,0.0526229733874436,0.0524288158992092,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262875972585492,1
"9",9,"AgLandAcres",19.8532019826233,215715.49009901,72353.2239884393,258469.611296317,155560.701754358,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000103397514723144,1
"10",10,"Farming.fishing.and.forestry.occupations",18.3717218301729,4.32054455445545,2.11040462427746,3.40289061754056,2.59158529695095,0.00000000000000000000000000000000000000000000000000000000000000000000000000221279260289343,1
"11",11,"Libertarians.2016",14.5025346686551,4.18537802866213,3.1634551458579,1.44198411558068,1.51799314048018,0.0000000000000000000000000000000000000000000000116757543853986,1
"12",12,"At.Least.High.School.Diploma",14.4098822400445,88.0381188118812,83.0091040462428,5.37043565592202,7.51827273940207,0.0000000000000000000000000000000000000000000000448474405142429,1
"13",13,"Female45to54",14.2210205310862,0.158685429479518,0.148824271666917,0.0169902610666234,0.0149380099062552,0.000000000000000000000000000000000000000000000678561047951575,1
"14",14,"Management.professional.and.related.occupations",13.7678202331436,33.9216584158416,29.8269107257547,6.39725691308651,6.40704179881884,0.000000000000000000000000000000000000000000398042627839687,1
"15",15,"Sire.Homogeneity",13.657093426225,0.836226714108911,0.719371780587669,0.123997707609837,0.184325053985711,0.00000000000000000000000000000000000000000183149329563215,1
"16",16,"S",13.2432417480589,0.228798485533416,-0.346031211777136,0.502705149868313,0.935062170922343,0.000000000000000000000000000000000000000493709098896516,1
"17",17,"Male44to54",12.7447355881198,0.159732088422504,0.150252860588604,0.0173812289052155,0.0160227748268003,0.000000000000000000000000000000000000333519660046748,1
"18",18,"Republicans.2012",12.6151622631572,68.3057508087624,59.6405414517739,12.3965508351776,14.7972774332686,0.00000000000000000000000000000000000174198485714649,1
"19",19,"White",12.4963235202187,90.2606435643564,79.0354046242775,9.70830628750265,19.3512458888383,0.00000000000000000000000000000000000781841936630599,1
"20",20,"Republicans.2016",12.3355202142661,72.5429576240965,63.5966680768333,11.6320408412722,15.6235988021404,0.0000000000000000000000000000000000583110964854758,1
"21",21,"White..Asian",12.0554551767531,90.6852722772277,80.1059248554913,9.38590486177971,18.9047467659489,0.00000000000000000000000000000000181526872337471,1
"22",22,"Republicans.2008",11.3881293015979,64.1101839818069,56.7853191221326,12.1360361676616,13.8561579237953,0.00000000000000000000000000000479166509058267,1
"23",23,"CA",10.4441229658033,0.488406929884901,0.00977821001140013,0.850787435942829,0.987239164274793,0.000000000000000000000000155889597471436,1
"24",24,"Injury.deaths",9.02087074049255,85.2643564356436,75.7539338471419,21.275420539681,22.7115593017862,0.000000000000000000186600153016698,1
"25",25,"MAR",7.10807605416499,0.817121335503713,0.734528408674856,0.211824037983571,0.250314719084465,0.00000000000117671715764808,1
"26",26,"CFS",6.58764901158829,0.0000263907197524753,-0.000000425598370006423,0.0000597881623035491,0.0000876928721484254,0.0000000000446845437422878,1
"27",27,"CountyArea",5.19306794609546,18865908768.0718,12009053468.9721,24740275814.8984,28444386890.0068,0.000000206856646823331,1
"28",28,"Green.2016",4.41293080169586,0.972331888540842,0.84987107802553,0.618258993972632,0.597813350487199,0.0000101980599142409,1
"29",29,"Max.Alc",4.04955374942988,0.000725517409653465,0.000604468383943481,0.000551510959829026,0.000643946412498957,0.0000513153912668099,1
"30",30,"Construction.extraction.maintenance.and.repair.occupations",2.58991480300686,11.9238861386139,11.5189466923571,3.83415054385925,3.3682180912459,0.00959996875881469,1
"31",31,"Service.occupations",-2.05531773878837,17.1157178217822,17.4492453436095,3.99768735492187,3.49581388926997,0.0398483250704939,1
"32",32,"CountyHU",-2.26630636010978,23400.9975247525,629745.087668593,72531.3218865914,5763630.47309139,0.023432632289993,1
"33",33,"HusbandWifeFamilyRatio",-4.02476368331412,0.269573710480136,0.27910958074637,0.0460642087052367,0.0510405735346063,0.0000570325581646344,1
